"target","indication","company_or_program","year","stated_failure_reason","mechanistic_assessment","preclinical_model_used","ontology_category","confidence","source_url","notes"
"MMP inhibitors","Cancer/arthritis","Pfizer (Marimastat) and class","2000","No improvement in cancer survival; severe musculoskeletal toxicity","Matrix metalloproteinases were thought to be purely destructive in cancer invasion. But MMPs also play essential roles in normal tissue remodeling wound healing and immune function. Broad MMP inhibition caused musculoskeletal syndrome — joint pain and fibrosis — not predicted from animal studies. Also tumors used alternative invasion pathways.","Xenograft cancer mouse models","A1 - Target plays essential normal tissue maintenance roles underappreciated preclinically","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1857302","Entire MMP inhibitor class failed — fundamental misunderstanding of MMP biology in normal tissue homeostasis"
"EGFR","Colorectal cancer unselected","ImClone/Bristol-Myers Squibb (Cetuximab early unselected trials)","2003","Insufficient response rate in unselected colorectal cancer population","EGFR inhibition works in KRAS wild-type colorectal cancer. But early trials enrolled all comers including KRAS-mutant patients who cannot respond because downstream RAS signaling bypasses EGFR. Diluted the signal from true responders. Preclinical cell line work did not adequately model KRAS mutation status.","Colorectal cancer cell lines mixed KRAS status","E2 - Critical responder biomarker (KRAS wild-type status) not identified preclinically","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2737389","Later succeeded when restricted to KRAS wild-type patients — textbook patient stratification failure and subsequent success"
"CDK4/6","Multiple solid tumors early programs","Various early CDK inhibitor programs (flavopiridol)","2002","No significant efficacy in solid tumor Phase 2 trials","Flavopiridol is a pan-CDK inhibitor not specific to CDK4/6. Broad CDK inhibition caused severe toxicity because CDKs are essential for normal cell cycle in all dividing tissues. Later selective CDK4/6 inhibitors succeeded — the problem was selectivity not the target.","Cancer cell lines and xenograft models","A2 - Drug inhibited wrong CDK family members — mechanism not specific to intended target","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1635042","Failure of pan-CDK inhibitors led to selective CDK4/6 inhibitors (palbociclib etc) which succeeded — target was right drug was wrong"
"TNF-alpha","Heart failure","Various (etanercept/infliximab heart failure trials)","2001","Trials terminated — no benefit and potential harm in heart failure","TNF-alpha is elevated in heart failure and was thought to drive cardiac inflammation. Blocking TNF worked in rheumatoid arthritis. But in heart failure TNF serves a cardioprotective role — it helps cardiomyocytes survive injury. Blocking it removed this protection. Mouse heart failure models did not capture this cardioprotective TNF function.","Mouse cardiac injury models","B3 - Target plays opposing roles in different disease contexts — protective not harmful in heart","8","https://www.nejm.org/doi/full/10.1056/NEJMoa010626","Canonical example of same target succeeding in one disease (RA) and failing harmfully in another (heart failure) — context-dependent biology"
"endothelin receptor","Heart failure","Roche (Bosentan heart failure program)","2002","Phase 2 showed trend but Phase 3 failed — no improvement in heart failure outcomes","Endothelin-1 is elevated in heart failure and drives vasoconstriction. Blocking endothelin receptors reduces vascular resistance — rational. But endothelin also plays a role in cardiac adaptation to stress. Broad blockade of ET-A and ET-B receptors interfered with compensatory cardiac mechanisms. Mouse heart failure models showed hemodynamic benefit without capturing long-term adaptive biology.","Rodent heart failure models","B3 - Target plays adaptive compensatory role in human heart failure context","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1767792","Bosentan succeeded in pulmonary arterial hypertension — same drug different disease context worked because PAH lacks the compensatory cardiac mechanism problem"
"5-HT2c receptor","Obesity","Arena Pharmaceuticals (early lorcaserin programs)","2003","Early Phase 2 programs showed insufficient weight loss","5-HT2c receptor activation suppresses appetite via hypothalamic pathways. Works in rodent obesity models. Human appetite regulation involves more complex hedonic and cognitive circuits than rodent hypothalamic satiety models capture. Effect size in humans smaller than predicted from animal models.","Rodent dietary obesity models (DIO mice)","C2 - Rodent appetite model overestimates effect size of hypothalamic appetite suppression in humans","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3181946","Later approved (lorcaserin) at approved doses but withdrawn for cancer risk — target had a long difficult development history"
"amyloid precursor protein cleavage","Alzheimer's disease","Elan (AN1792 active immunization)","2002","Phase 2 halted — 6 percent of patients developed meningoencephalitis brain inflammation","Active vaccination against amyloid-beta generated T cell response against brain tissue. Preclinical mouse immunization studies showed amyloid clearance without inflammation. Human immune responses to amyloid vaccination generated pathological T cell-mediated brain inflammation not seen in transgenic mice because mouse immune systems respond to human amyloid differently.","APP transgenic mouse immunization studies","C2 - Mouse immune response to human amyloid does not predict human T cell-mediated neuroinflammation","8","https://www.thelancet.com/journals/laneur/article/PIIS1474-4422(03)00548-3/fulltext","First active immunotherapy for AD — failure led to passive antibody approach. T cell response to amyloid was not modeled in transgenic mice"
"alpha-synuclein","Parkinson's disease","Prothena/Roche (Prasinezumab)","2022","Phase 2b failed to slow motor progression in early Parkinson's","Alpha-synuclein aggregation drives Parkinson's neurodegeneration. Antibody cleared alpha-synuclein. But like amyloid in AD clearing the protein may not halt already-triggered neurodegeneration. Also enrolled patients may already have had irreversible dopaminergic neuron loss.","Alpha-synuclein transgenic mouse models","B2 - Biomarker cleared but neurodegenerative cascade already irreversible at enrollment","6","https://www.nejm.org/doi/full/10.1056/NEJMoa2202867","Mirrors Alzheimer's amyloid failures — protein clearance without functional recovery is an emerging pattern across neurodegeneration"
"VEGF","Alzheimer's disease","Various VEGF-related neurodegeneration programs","2018","No cognitive benefit in Phase 2","VEGF promotes neurogenesis and blood-brain barrier function — thought to be neuroprotective. Animal models of cognitive decline showed VEGF benefit. But human AD is too advanced by symptomatic stage and VEGF delivery to brain was insufficient in clinical formulations.","Rodent cognitive decline and ischemia models","E3 - Enrolled patients too late in disease — neuroprotection cannot reverse established neurodegeneration","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3107552","VEGF neuroprotection may be valid as prevention not treatment — disease stage at intervention is the key variable"
"mGluR5","Fragile X syndrome","Novartis (Mavoglurant)","2014","Phase 2b failed to improve behavioral symptoms in Fragile X","mGluR5 hypothesis for Fragile X was well supported — FMR1 protein normally suppresses mGluR5 signaling and its absence causes overactivation. Mouse Fmr1 knockout model showed robust behavioral rescue with mGluR5 blockers. Human trials showed no benefit. Mouse behavioral tests (open field marble burying) measure very different behavioral dimensions than human Fragile X symptoms.","Fmr1 knockout mouse model","C2 - Mouse behavioral assays do not map to human Fragile X symptom domains","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4537962","High-profile failure — mGluR5 hypothesis was scientifically strong but mouse behavioral tests were not predictive of human outcomes"
"PDE5","Alzheimer's disease","Various (sildenafil cognition programs)","2012","No cognitive benefit in Phase 2 AD trials","PDE5 inhibition raises cGMP and was thought to enhance synaptic plasticity and memory. Works in rodent memory models. Human AD cognition involves structural neurodegeneration not addressable by synaptic modulation alone. Also brain penetration of PDE5 inhibitors at safe doses was insufficient.","Rodent memory and LTP models","C2 - Rodent synaptic plasticity model does not capture human neurodegeneration context","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3413784","PDE5 inhibition may enhance normal cognition — does not address structural neurodegeneration of established AD"
"beta-secretase 2 / BACE2","Type 2 diabetes","Various programs","2019","No significant HbA1c reduction — pancreatic toxicity signal","BACE2 was thought to regulate pancreatic beta cell function. Inhibiting it was hypothesized to improve insulin secretion. But BACE2 and BACE1 share overlapping substrate cleavage — BACE2 inhibitors also affected BACE1 substrates causing cognitive and pancreatic side effects. Rodent BACE2 biology differs from human.","Rodent pancreatic function models","A1 - Off-target BACE1 substrate cleavage disrupted in humans","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6335563","BACE1/BACE2 substrate overlap is a fundamental problem for selective inhibition — species differences complicate this further"
"RAGE receptor","Diabetes complications","TransMedics/Pfizer (TTP488/Azeliragon)","2018","Phase 3 failed to slow Alzheimer's progression","RAGE receptor drives inflammation and oxidative stress in diabetic complications and was hypothesized to drive neuroinflammation in AD. Animal models showed benefit. Human Phase 3 failed. RAGE has many ligands and pathways in human disease making single blockade insufficient. Also enrolled patients had established AD — too late for anti-inflammatory neuroprotection.","Rodent diabetic complication and transgenic AD models","E3 - Enrolled patients at wrong disease stage combined with pathway redundancy","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367802","Anti-RAGE approach rational as prevention — failed as treatment of established neurodegeneration"
"cannabinoid CB1 receptor","Obesity","Sanofi (Rimonabant)","2008","Withdrawn — severe psychiatric side effects including suicidality","CB1 receptor blockade in the brain reduces appetite and body weight effectively. Works in rodent obesity models. But CB1 receptors are also essential for mood regulation and emotional processing. Blocking them caused depression anxiety and suicidality in humans — psychiatric effects not adequately captured in rodent behavioral models.","Rodent dietary obesity models","A1 - Off-target CNS mood regulation pathway active in humans underweighted in rodent models","8","https://www.nejm.org/doi/full/10.1056/NEJMoa0706645","Weight loss was confirmed — psychiatric toxicity was the failure. Rodent mood models do not adequately capture human psychiatric adverse effects of CB1 blockade"
"ghrelin receptor","Obesity/cachexia","Various programs (anamorelin early programs)","2008","Insufficient efficacy in obesity; later cachexia programs also mixed","Ghrelin receptor activation stimulates appetite — blocking it should reduce appetite. Works in rodent feeding models. Human appetite regulation involves more complex behavioral and hedonic components. Also compensatory appetite signals upregulated when ghrelin blocked. Rodent feeding models do not capture human eating behavior complexity.","Rodent feeding and body weight models","C2 - Rodent feeding model overestimates human appetite suppression from ghrelin blockade","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3319566","Ghrelin agonism (not antagonism) later showed utility in cancer cachexia — different indication same target"
"NF-kB pathway","Sepsis/inflammation","Various (parthenolide and class)","2005","No clinical benefit in inflammatory disease Phase 2 trials","NF-kB drives inflammatory gene expression and is a rational target. But NF-kB is also essential for normal immune responses cell survival and development. Broad NF-kB blockade caused immunosuppression and toxicity. Disease continued via NF-kB independent inflammatory pathways. No animal model captured human inflammatory disease complexity.","Rodent LPS inflammation models","B3 - Target valid but essential for normal immunity — blockade causes immunosuppression","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1369008","NF-kB is too central to normal immunity to block broadly — selective pathway approaches needed"
"COX-2","Colorectal cancer prevention","Merck (Vioxx/Rofecoxib cancer prevention)","2004","Withdrawn — excess cardiovascular events in long-term cancer prevention trial","COX-2 drives prostaglandin production that promotes tumor growth — rational for cancer prevention. But COX-2 also produces prostacyclin which protects against thrombosis. Long-term COX-2 blockade tipped the thromboxane/prostacyclin balance toward thrombosis causing heart attacks. Short-duration animal models did not capture this long-term cardiovascular imbalance.","Rodent colorectal carcinogenesis models","F1 - Long-term cardiovascular effect of prostaglandin imbalance not visible in short-duration animal studies","8","https://www.nejm.org/doi/full/10.1056/NEJMoa042430","One of largest drug withdrawals in history — prostacyclin/thromboxane imbalance was predictable but ignored"
"TRPV1","Pain","Various (AMG 517 and class)","2007","Development halted — severe hyperthermia in humans","TRPV1 is a pain and temperature sensor. Blocking it reduces pain in animal models effectively. But TRPV1 is also essential for normal body temperature regulation in humans — blocking it causes hyperthermia (dangerously elevated body temperature). Rodent TRPV1 blockade causes much milder hyperthermia than in humans due to species differences in thermoregulatory physiology.","Rodent pain models — formalin test and hot plate","A1 - Off-target thermoregulatory pathway much more sensitive to TRPV1 blockade in humans than rodents","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2581888","Entire TRPV1 antagonist class failed on hyperthermia — fundamental species difference in thermoregulation through TRPV1"
"sodium channel Nav1.7","Pain","Various programs","2015","No significant pain relief in Phase 2 human pain trials","Nav1.7 mutations that abolish its function cause congenital insensitivity to pain in humans — validating the target genetically. But pharmacological blockade of Nav1.7 did not reproduce the pain relief of genetic loss. Drug penetration to peripheral neurons insufficient and other Nav channels compensated acutely for Nav1.7 blockade in ways genetic loss during development does not.","Rodent Nav1.7 knockout and pain models","B3 - Genetic validation did not translate to pharmacological validation — compensatory Nav channels","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5378486","Genetic vs pharmacological target validation discrepancy — important distinction for Terracotta ontology"
"PCSK9","LDL reduction — early programs","Various early anti-PCSK9 programs","2012","Early Phase 2 concerns about injection site reactions and durability","PCSK9 inhibition lowers LDL — target is well validated. Early programs had formulation and delivery issues. Not a pure target failure — delivery and formulation problems. Later programs (evolocumab alirocumab) succeeded with better antibody engineering.","Rodent and primate PCSK9 models","D3 - Formulation and delivery not adequate — not a target failure","6","https://www.nejm.org/doi/full/10.1056/NEJMoa1011365","Including as example where early failure led to successful refinement — target was right execution was wrong"
"Notch pathway","T-cell acute lymphoblastic leukemia","Various gamma-secretase inhibitor programs for T-ALL","2010","GI toxicity prevented dose escalation to therapeutic levels","Notch is hyperactivated in T-ALL through NOTCH1 mutations. Blocking Notch with gamma-secretase inhibitors should work. But as with Alzheimer's programs gamma-secretase also cleaves many other substrates causing severe GI toxicity from intestinal goblet cell metaplasia. Therapeutic dose was impossible to achieve without unacceptable GI damage.","T-ALL cell lines and xenograft models","A1 - Off-target GI Notch pathway disrupted at therapeutic doses in humans","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2917110","Same gamma-secretase off-target Notch problem as semagacestat — confirms A1 as a robust ontology node"
"TGF-beta","Cancer","Eli Lilly (Galunisertib)","2019","Phase 2 failed to improve survival in hepatocellular carcinoma","TGF-beta drives tumor immunosuppression and cancer cell invasion. Blocking it was rational. But TGF-beta also plays tumor suppressive roles in early cancer and normal tissue homeostatic roles. Broad TGF-beta blockade in advanced cancer activated both anti-tumor and pro-tumor effects simultaneously. Mouse xenograft models used immunodeficient animals and could not capture immunological complexity.","HCC xenograft models in immunodeficient mice","C3 - Immunodeficient model cannot capture dual tumor-suppressive and pro-tumorigenic TGF-beta roles","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7492168","TGF-beta is bidirectional in cancer — tumor suppressive early and pro-tumorigenic late. Model immunodeficiency masks this complexity"
"IDO1","Cancer immunotherapy","Incyte/Merck (Epacadostat)","2018","Phase 3 failed to improve outcomes when combined with pembrolizumab in melanoma","IDO1 metabolizes tryptophan to suppress T cell activity — blocking it should enhance anti-tumor immunity. Phase 2 single arm data looked promising. Phase 3 with pembrolizumab showed no benefit. Phase 2 signal was likely inflated by pembrolizumab alone in uncontrolled trial design. Mouse tumor models showed IDO1 blockade benefit but mouse IDO1 biology differs from human.","Syngeneic mouse tumor models","E1 - Phase 2 signal was false positive from uncontrolled design — pembrolizumab alone drove the response","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1812181","One of largest Phase 3 failures in immuno-oncology — uncontrolled Phase 2 design gave misleading signal that drove massive Phase 3 investment"
"PI3K-delta","Inflammatory disease","Gilead (Idelalisib inflammatory indications)","2016","Phase 2 failed for inflammatory indications — serious infection rate","PI3K-delta is highly expressed in immune cells and its inhibition reduces inflammatory signaling. Works in RA and IBD animal models. But PI3K-delta is also essential for regulatory T cell function — blocking it paradoxically caused autoimmune colitis and serious infections by removing immune regulation. Mouse immune models did not capture this regulatory T cell dependency.","Rodent inflammatory disease models","A1 - Off-target regulatory T cell pathway dependent on PI3K-delta disrupted in humans","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079551","Idelalisib approved for blood cancer — failed in inflammatory disease because inflammatory vs cancer immune context differs critically"
"FGF receptor","Bladder cancer unselected","Various early FGFR programs","2014","Insufficient response rate in unselected bladder cancer population","FGFR mutations drive bladder cancer in a specific subset of patients. Early trials did not select for FGFR mutation status and enrolled all bladder cancer patients. The 20 percent with FGFR mutations had responses but the 80 percent without diluted the signal to statistical noise.","Bladder cancer cell lines mixed FGFR status","E2 - Responder biomarker (FGFR mutation status) not used for patient selection","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6195495","Later succeeded when restricted to FGFR-mutant patients (erdafitinib) — mirrors EGFR/KRAS story in colorectal cancer"
"HER2","Gastric cancer early programs","Various early trastuzumab gastric cancer programs","2008","Insufficient overall response in unselected gastric cancer population","HER2 amplification drives gastric cancer in about 20 percent of patients. Early programs enrolled unselected gastric cancer patients. HER2-negative patients could not respond. Signal from HER2-positive patients diluted by non-responders. Later succeeded when restricted to HER2-positive patients.","HER2-overexpressing gastric cancer cell lines","E2 - Responder biomarker (HER2 amplification status) not used for patient selection","8","https://www.nejm.org/doi/full/10.1056/NEJMoa0909530","Trastuzumab now approved in HER2-positive gastric cancer — patient selection failure not target failure"
"complement C5a receptor","Sepsis","Various (PMX53 and class)","2006","No mortality reduction in Phase 2 sepsis trials","C5a complement activation drives excessive inflammation in sepsis. Blocking C5aR reduces organ damage in animal models. But in human sepsis complement activation occurs alongside many other inflammatory cascades. Blocking C5a alone was insufficient. Mouse sepsis models show higher C5a pathway dependence than complex human septic cascades.","Mouse CLP sepsis models","B3 - Target valid but sepsis driven by redundant inflammatory pathways beyond C5a","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3500564","Complement as drug target in sepsis has been tried many times — pathway redundancy is consistent obstacle"
"ACE2/angiotensin","Heart failure with preserved ejection fraction","Various ARB/ACE programs for HFpEF","2019","No improvement in outcomes in HFpEF — drugs effective in HFrEF failed","Renin-angiotensin system blockade works in heart failure with reduced ejection fraction. HFpEF was assumed similar. But HFpEF has different pathophysiology — driven by diastolic stiffness inflammation and metabolic dysfunction rather than neurohormonal overactivation. Mouse heart failure models predominantly model systolic dysfunction not diastolic HFpEF biology.","Rodent systolic heart failure models (LAD ligation)","C2 - Model recapitulates wrong heart failure subtype — systolic not diastolic","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340073","HFpEF remains one of largest unmet needs in cardiology — model inadequacy is central to slow progress"
"dopamine D3 receptor","Schizophrenia","Various (cariprazine early programs and class)","2010","Insufficient efficacy signal in early Phase 2 programs before dose optimization","D3 receptor blockade was hypothesized to improve negative symptoms of schizophrenia beyond D2 blockade alone. Animal models of negative symptoms (social withdrawal anhedonia) showed benefit. But negative symptoms in humans involve complex prefrontal-limbic circuit dysfunction that D3 modulation alone cannot address. Effect size much smaller than animal models predicted.","Rodent social interaction and anhedonia models","C2 - Rodent negative symptom models overestimate human D3 receptor contribution to negative symptoms","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3019960","Cariprazine eventually approved at optimized doses — not pure failure but highlights effect size overestimation from animal models"
"CXCR4","Multiple myeloma early programs","Various early CXCR4 programs","2011","Insufficient mobilization and anti-tumor activity in early Phase 2","CXCR4 tethers myeloma cells to bone marrow niche protecting them from chemotherapy. Disrupting CXCR4-CXCL12 axis should mobilize and sensitize myeloma cells. Works in mouse myeloma models. But human bone marrow niche interactions involve multiple redundant adhesion and retention mechanisms — CXCR4 alone was insufficient to fully displace myeloma cells from the niche.","Mouse myeloma xenograft models","B3 - Target valid but bone marrow niche retention involves redundant parallel mechanisms","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3272473","CXCR4 inhibition (plerixafor) approved for stem cell mobilization — works for that narrow indication but insufficient alone for myeloma treatment"
"RANKL","Bone metastasis pain","Amgen (Denosumab bone pain programs)","2011","Phase 2 bone pain endpoint not met — bone protection confirmed but pain relief insufficient","RANKL drives osteoclast activity causing bone destruction in metastasis. Denosumab prevents bone destruction effectively. But bone metastasis pain involves multiple mechanisms including nerve sensitization tumor-derived pain mediators and inflammatory cytokines beyond bone destruction alone. Preventing bone damage did not adequately reduce pain.","Rodent bone metastasis models","D1 - Biomarker (bone resorption markers) improved but downstream pain mechanism unaffected","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412379","Denosumab approved for skeletal events — bone protection confirmed but pain is driven by additional mechanisms beyond bone destruction"
"IL-17A","Crohn's disease","Eli Lilly (Secukinumab Crohn's program)","2012","Phase 2 failed — disease worsened in some patients on secukinumab","IL-17A drives inflammation in psoriasis and ankylosing spondylitis. Blocking it was tried in Crohn's disease. But IL-17A plays a protective role in gut mucosal immunity — blocking it paradoxically worsened gut inflammation in Crohn's patients by removing mucosal defense. Mouse gut models did not capture this protective IL-17A role in human intestinal immunity.","Mouse colitis models","B3 - Target plays opposing protective role in gut that animal model did not capture","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1207069","Secukinumab approved in psoriasis and ankylosing spondylitis — same drug different disease context — gut protective IL-17A role is human-specific"
"FXR nuclear receptor","NASH liver disease","Intercept (Obeticholic acid advanced programs)","2019","Phase 3 failed primary histological endpoint — safety concerns with pruritus and LDL elevation","FXR activation reduces liver fat and fibrosis in NASH animal models. Obeticholic acid confirmed FXR engagement. But FXR activation also reduces bile acid synthesis which increases LDL cholesterol. In NASH patients who already have cardiovascular risk this LDL elevation was problematic. Mouse NASH models do not recapitulate human cardiovascular comorbidity context.","Mouse NASH models (NASH diet and STAM models)","D1 - Biomarker improved but off-target LDL elevation clinically unacceptable in patient population with high CV risk","6","https://www.nejm.org/doi/full/10.1056/NEJMoa2028395","NASH field has had multiple failures — human disease complexity and comorbidity context not captured in mouse dietary models"
"ASK1","NASH liver disease","Gilead (Selonsertib)","2019","Phase 3 failed to improve liver fibrosis in advanced NASH","ASK1 drives oxidative stress-induced liver cell death and fibrosis. Blocking it reduced liver injury markers in early studies. Phase 3 failed to show fibrosis improvement. Multiple parallel fibrosis pathways (TGF-beta PDGF stellate cell activation) continued driving fibrosis when ASK1 was blocked alone. Mouse NASH fibrosis models show higher ASK1 pathway dependence.","Mouse NASH fibrosis models (CCl4 and dietary)","B3 - Target valid but liver fibrosis driven by redundant parallel pathways beyond ASK1","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1910309","Multiple NASH drug failures share same root — liver fibrosis is driven by many parallel pathways and single target blockade is insufficient"
"ACC inhibitor","NASH liver disease","Pfizer/Gilead (firsocostat)","2020","Insufficient anti-fibrotic efficacy in Phase 2b","Acetyl-CoA carboxylase inhibition reduces liver fat by blocking de novo lipogenesis. Confirmed fat reduction. But NASH fibrosis is driven by stellate cell activation inflammatory mediators and oxidative stress — reducing fat alone without addressing fibrogenic pathways was insufficient. Mouse NASH models overrepresent lipogenic pathway contribution to fibrosis.","Mouse dietary NASH models","B3 - Reducing lipid burden insufficient without addressing fibrogenic inflammation","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8437201","Third NASH failure following similar pattern — fibrosis pathway redundancy is the consistent obstacle in this disease area"
"SCD1","Metabolic syndrome/obesity","Various programs","2008","Development halted — severe skin and eye toxicity in humans","SCD1 is a fatty acid desaturase enzyme involved in fat metabolism. Blocking it reduces obesity and metabolic syndrome in rodents. But SCD1 is essential for sebaceous gland and meibomian gland function in humans — blocking it caused severe skin dryness and eye surface problems not seen in rodents because rodent skin and eye biology differs substantially.","Rodent dietary obesity models","F1 - Species-specific skin and eye gland SCD1 dependency caused human-specific toxicity","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2874533","Entire SCD1 inhibitor class failed on skin and eye toxicity — fundamental species difference in SCD1 dependency in skin glands"
"GLP-1 receptor agonist for NASH","NASH liver disease","Various early GLP-1 programs for NASH","2016","Phase 2 showed insufficient liver fibrosis improvement despite fat reduction","GLP-1 receptor agonists reduce liver fat effectively. But NASH progression and fibrosis involves inflammatory and stellate cell mechanisms beyond lipid accumulation. Fat reduction alone was insufficient to improve fibrosis endpoints. Mouse NASH models often improve fully with fat reduction alone — human disease is more driven by independent fibrogenic pathways.","Mouse dietary NASH models (MCD and HFD)","B3 - Lipid reduction target insufficient — fibrosis driven by independent parallel pathways","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261366","Later higher-dose GLP-1 programs showed more promise — dose and fibrosis endpoint sensitivity were key variables"
"c-MET","Gastric cancer unselected","Amgen (Rilotumumab)","2014","Phase 3 failed — increased deaths in MET-low patients","c-MET amplification drives gastric cancer in a subset of patients. Early Phase 2 selected for MET-high patients and showed benefit. Phase 3 enrolled broader MET-positive population including MET-low patients. MET-low patients may have been harmed by the antibody through immune-related mechanisms. Preclinical models used only MET-high cell lines not capturing MET-low patient biology.","MET-overexpressing gastric cancer xenograft models","E1 - Broad enrollment of MET-positive patients included MET-low patients who were potentially harmed","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1504789","MET-low patients being harmed was a critical unexpected finding — biomarker threshold definition was too loose"
"Wnt pathway","Colorectal cancer","Various Wnt inhibitor programs","2016","Development halted — severe gastrointestinal toxicity at therapeutic doses","Wnt pathway is hyperactivated in colorectal cancer — rational target. But Wnt is also essential for intestinal crypt stem cell renewal in normal gut. Blocking Wnt in tumor cells also blocked normal gut stem cell maintenance causing severe GI toxicity. No therapeutic window possible because tumor and normal intestinal cells have equivalent Wnt dependency.","Colorectal cancer cell lines and xenograft models","F2 - Target essential for normal intestinal stem cell maintenance — no therapeutic window","8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5551008","Wnt pathway inhibition in colorectal cancer is theoretically impossible without GI toxicity — normal gut Wnt dependency creates an unavoidable therapeutic window problem"
"OX40L","Atopic dermatitis","AstraZeneca (Rocatinlimab early programs)","2018","Phase 2b mixed results — efficacy in subset but broad enrollment diluted signal","OX40/OX40L drives Th2 inflammatory responses in atopic dermatitis. Works in animal allergy models. Human atopic dermatitis is immunologically heterogeneous — Th2-dominant patients responded but Th1 and mixed-phenotype patients did not. Preclinical models used Th2-skewed mouse allergy models not capturing human disease heterogeneity.","Th2-skewed mouse allergy models","C1 - Th2-skewed model not representative of full spectrum of human atopic dermatitis immunophenotypes","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7790819","Later programs showed better results with patient stratification — Th2-dominant subgroup identification improved outcomes"
"CGRP receptor","Cluster headache","Various early CGRP programs for cluster headache","2018","Insufficient efficacy in episodic cluster headache Phase 2","CGRP drives migraine pain — CGRP inhibitors work in migraine. Cluster headache was assumed to share the same mechanism. But cluster headache involves hypothalamic activation and trigeminal autonomic features that are distinct from migraine CGRP pathways. Animal trigeminal pain models do not distinguish between migraine and cluster headache mechanisms.","Rodent trigeminal pain models","C2 - Animal model does not distinguish migraine vs cluster headache pain mechanisms","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6751269","CGRP inhibitors work in migraine — cluster headache involves additional hypothalamic mechanisms beyond CGRP"
"NLRP3 inflammasome","Gout flares","Various early NLRP3 programs","2019","Insufficient efficacy signal in Phase 2 — tolerability concerns","NLRP3 drives IL-1beta production in gout crystals. Animal gout models showed benefit. In humans NLRP3 is one of multiple inflammasome complexes active in gout — other inflammasomes (NLRP1 AIM2) compensated when NLRP3 was blocked. Also NLRP3 plays important roles in normal pathogen defense — chronic blockade increased infection risk.","Mouse urate crystal arthritis models","B3 - Target valid but parallel inflammasome pathways compensate in human gout","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7243144","NLRP3 inhibition promising in early data but human inflammasome redundancy limits single-target approach"
"KIF11/Eg5 kinesin","Cancer","Various (ispinesib and class)","2008","No significant tumor responses in Phase 2 solid tumor trials","Eg5 kinesin is essential for mitotic spindle formation — blocking it should arrest cancer cell division. Works in cancer cell lines and animal models. But clinical responses were very limited. Solid tumors have heterogeneous cell cycle states and many cells are not actively dividing at time of treatment. Also drug delivery to solid tumor cores was inadequate.","Cancer cell lines and xenograft models","E1 - Unselected tumors had low mitotic fraction — insufficient tumor cells actively dividing to show response","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2615545","Mitotic index of solid tumors much lower than cell lines — cell line models systematically overestimate activity of cell cycle targeted drugs in solid tumors"
"HDAC","Solid tumors","Various early HDAC inhibitor programs for solid tumors","2006","No significant efficacy in solid tumor Phase 2 trials despite hematologic malignancy activity","HDAC inhibitors work well in hematologic malignancies (cutaneous T cell lymphoma). In solid tumors failed to show efficacy. Solid tumor microenvironment has dense stroma limiting drug penetration. Also solid tumor cells have different epigenetic dependencies than liquid tumor cells. Cell line models used for solid tumors do not capture tumor microenvironment and stromal barriers.","Cancer cell lines and xenograft models","C3 - Immunodeficient xenograft model lacks stromal microenvironment context of solid tumors","6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1892795","HDAC inhibitors work in liquid tumors — solid tumor failure reflects stromal penetration and epigenetic dependency differences not visible in standard xenograft models"
